content,label,cluster
【悲剧！江西高速上一快递货车起火4000多件快递报废[衰]】今天昌铜高速路上，一辆运快递的货车着火。半小时后消防员赶到将火扑灭，无人员受伤，但车上快递基本报废，损失约100余万元。民警发现火是从货物里烧起来的，起火原因仍在调查中。http://t.cn/RUWFTdC网友：多少人的奋斗成果就这么没了…,0,16
埃航的黑匣子已经找到，最后的10秒发出的尖叫，生命的尽头《大鱼海棠》中说：从此以后，八千年为椿，八千年为湫，春秋隔夏，死生不见。突然好难过，那些你以为会相守一辈子的人，其实在我们的人生里，只停留了一阵子，然后就离开了。人这辈子，有些再见，其实是最后一面。 偶尔写首歌的老萧的秒拍视频 ,1,17
#西安爆料#【汽车违停挡了火车的道】今天上午，一陕A牌照车辆驾驶人随意违停，造成火车无法通行，即给铁路运输制造拥堵与延误，又带来极大的安全隐患！这种不遵守法律法规，更无视安全的行为将受到严厉处罚，辖区莲湖大队现已将其车辆拖移，铁路运输已恢复。请广大驾驶人不要为一己私利给他人带来不便。（魏茂毓）,0,18
#麦当劳更名金拱门#麦当劳在中国正式更名注册为：金拱门。洋快餐如此接地气，简直就是沙县小吃的亲兄弟。照这趋势，也许有一天，必胜客会变成红帽子，星巴克变成白娘子，肯德基变成开封菜，德克士变成李白鸟......欢迎补充。,0,19
：网友问：为什么短短一个月，向IMF注资430亿美元，援助上合组织100亿美元贷款 ，并无偿援助阿富汗1.5亿元 。中非论坛援助非洲200亿美元。免除越南到期500亿美元贷款。共计1230多亿美元。他们究竟是什么人？为什么要大把败光自己的家业？为什么不搞免费医疗？为什么要延迟退休？为什么要搞退休双轨制 ,1,20
特权婚车牛逼！警车开道！交通管制！今天上午10点40分，新街口四个路口交通信号灯全红，计时不再显示，一警车开道领一婚车队伍自中山东路驶入，婚车打头的是辆陆虎，后面的车恕我眼拙，太高端没认出，绕孙中山铜像一圈后驶回中山东路。全程约四五分钟左右，路口多车鸣笛送行。大领导结婚了？,1,21
【雾霾天行车九大原则，你必须知道的！[话筒]】在雾霾天行车，会给我们的驾车出行带来非常大的安全威胁。因此，掌握好雾天安全驾驶的原则是非常有必要的。①雾天开车切勿使用远光灯！②不要猛踩刹车！③不要盲目超车注意路面行人......雾霾天行车应牢记九大安全原则↓↓转给你的家人和朋友！[心],0,22
这是每个汪星人，都过不去的一道坎。。。心疼哭http://t.cn/RLKgtRK,0,23
#雅安灾情#【伟大母亲 为救儿子身亡】雅安芦山县灾区的废墟中，一个八岁小男孩被救出，但她母亲却保护儿子而遇难，儿子才没有砸到。这个小男孩叫做杨宇杰，他母亲叫杨双梅（音），37岁。伟大的母亲，一路走好！(via鲁国平先生),1,24
北京时间3月12日消息，在83版《西游记》中扮演孙悟空的演员六小龄童（章金莱），3月12日早上八点半病逝于浙江绍兴慈济医院，享年53岁。如果他给你的童年带去了无数欢乐，请默默的转发，让更多人祝愿猴哥一路走好！[蜡烛][蜡烛][蜡烛]永远的猴哥一路走好。 我在:http://t.cn/zY1iRG3,1,25
官方回应情侣玉龙雪山殉情，一个人一头跳下，一个人转身离开，唉，说啥呢，就算痴情人终获解脱吧。 ,1,26
【#货车司机高速路上停车蒸鸡蛋#交警：罚200扣6分】11月12日，广西高速交警在G80广昆高速巡逻时，发现一辆货车停靠在应急车道内，未摆放三角警示牌及开启双闪灯，上前查看发现，司机林某从广东拉货到云南，因饥饿难耐，便在应急车道停车蒸鸡蛋。民警将车引入就近服务区，并对林某处罚款200元、驾驶证...全文,0,27
封建专制时代，大家都避讳“莫谈国事”。不是不谈，是莫谈。一来：这国不是你的，你谈什么谈！二来是：不敢谈…近日，看了一则“惠州城管执法时把女贩的裤子扒下”，实在忍不住爆粗口！“城管执法把女贩的裤子扒下”——是“执法扒裤子”么？！——人手齐抓共扒女贩的裤子是工作需要还是干什么？！ ,1,28
"1982年，全国第一个商品房小区东湖新村，700元/㎡，5万元可买一套。1985年，商品房真正进入广州大众视野，六运小区、天河东等楼盘，售价1200-1500元/㎡。1993年，广州房价高速上涨，环市东淘金路一带的淘金家园、华侨乐园、淘金大厦等6000-8000元/㎡；天河北光华阁、东方明珠苑等楼盘售价8000-12000元/㎡。1997年，金融危机楼价跳水，淘金路、滨江东、天河北豪宅物业以五六折的跳楼价抛售。2001年，房价4220元/㎡。2001年，房价4143元/㎡。2003年，房价3888元/㎡，非典来袭，房价跌至谷底。2004年，房价4618元/㎡，楼价大涨通道开启。2005年，房价5114元/㎡，调控来了，房价继续涨。2006年，房价6352元/㎡，不买房运动兴起，结果很悲壮。2007年，房价8599元/㎡，央行6次加息。2008年，房价9339元/㎡，央行百日内5次降息，广州楼市成交量腰斩，全国首个限价房保利西子湾开盘。2009年，房价9346元/㎡，广州亚运城 ( 详情 图库 团购 点评 ) 以255亿天价拍出，中国总价最高地王诞生。2010年，房价11517元/㎡。2011年，房价11655元/㎡，在市区买套房越来越不容易，开始往郊区去！2012年，房价12315元/㎡，限购、限贷、限价继续，但房价上涨也在继续。2013年，房价13277元/㎡。2014年，房价15014元/㎡。2015年，房价15178元/㎡。2016年，房价16656元/㎡。2017年，房价将为？2017年1月1日-6月28日，广州均价为16,554元/平，但双合同、三合同，大有人在。你又将怎样看待房价走势？",0,29
投票：亚洲男神http://t.cn/8FIvV05。电脑每半小时可以投票一次；或断网再次连接网络后即可再投。目前世勋的票数不是十分理想，有时间的勋饭们可以动动鼠标^^带张图引起注意~,0,30
【交通新规】2013年1月1日交通新规就要正式实行了，开车的朋友看过来！！,1,31
#日本将恢复从中国进口口罩#柬埔寨首相也感染上了，汗…这世界怎么了 ,1,32
#贵州GDP增速连续39个季度位居全国前列#【权威解读|贵州前三季度经济运行怎么看？】根据国家统计局统一核算结果，前三季度全省地区生产总值12650.00亿元，比上年同期增长3.2%，增速比上半年加快1.7个百分点。贵州前三季度经济运行怎么看？在10月21日贵州省政府新闻办召开的新闻发布会上，省统计局副...全文,0,27
一个法国服装设计师来到中国，发现一些建筑墙上有一些奇怪的符号。就问中国人这个符号是什么意思。中国人告诉他是表示吉祥的意思。后来，这个设计师把这个符号引入服装设计--称为服装设计里的中国元素。。。评：中国的悲催，世界的时尚。@王朔有话说@焦点联播@思想汇聚人生@杂谈五味 ,1,33
#南宁身边事#【广西医务人员出征广西版“小汤山”，剪掉秀发、不念归期[中国赞]】广西版“小汤山医院”——广西壮族自治区人民医院邕武医院临时应急病房启用在即，首批86名医务人员即将入驻。当天，为更好地收治患者，提高工作效率，79名队员集体将头发剪短。共青团南宁市委动员青年理发师和社会义工为医务人员理发。广西版“小汤山”医院建设旨在缓解定点医院收治病人的压力，提升救治能力和水平，设计床位为96张。为保证收治患者得到规范化的治疗，广西壮族自治区人民医院选拨了一批医务人员接受专业培训，并购买了一批特殊医疗器械设备，第一时间让病区投入使用。#关注广西新型肺炎疫情##广西抗击新冠肺炎#（广西新闻网）,0,34
一年前，2019年11月5号，武汉有八人因传播新冠谣言被捕，一举成为新世纪新闻。而今天新冠肺炎已蔓延全世界造成一百多万人死亡，目前尚无有效药物控制病毒继续蔓延。 ,1,35
李大眼被抓了,1,36
发表了一篇转载博文《[转载]转基因美国再次爆发大规模抗议游行！》&#xb0;[转载]转基因美国再次爆发大规模抗议游行！ ​​​​¡查看图片,1,37
【[泪]恭喜大家可以戒掉拉面了!拉面剂含大量致癌物质】报道显示:所有兰州拉面馆都在使用拉面剂，拉面剂主要成份是蓬灰，这种化学物质含有大量致癌物质--砷。几乎所有的兰州拉面都用这种制剂来使得面粉更有弹性。新闻:http://t.cn/zOXVKqf不信的同学，你去吃的时候问问师傅有没有加拉面剂，他肯定回答有,1,38
18日中国视协电视界职业道德建设委员会成立，并通过了《电视界职业道德建设委员会章程》，规定委员会的重要任务就是建立健全联合评议惩戒机制，共同研制对失德行为的惩戒措施，建立并动态更新行业违法失德人员清单，探索退出机制。看到#电视界职业道德建设委员会成立#你的想法是？...全文,0,27
【中美护照对比】美国护照中写着：“不管你身处何方，美国政府都是你强大的后盾”。在中国护照中写着：“请严格遵守当地的法律，并尊重那里的风俗习惯”。微评：美国说，出去了有人欺负你，招呼一声，咱修理他！中国说，出去了老实点，听人家的话，好好干，少惹麻烦。[草泥马],1,39
【金格电子签章与统一操作系统UOS完成适配】近日，金格科技公司推出的独自研发的电子签章产品(iSignature)与统一操作系统UOS完成产品兼容性互认证测试。本次适配平台环境基于龙芯、兆芯、鲲鹏、飞腾四个CPU平台。……详情点击：金格电子签章与统一操作系统UOS完成适配,0,28
【#证监会今年首罚#：#两人用196个账户操控股价亏逾3亿被罚百万#】财联社1月12日讯，证监会2021年1号行政处罚和2021年1号市场禁入决定书显示，熊模昌、吴国荣因操纵华平信息技术股份有限公司（华平股份，300074）股票价格，利用196个账户亏损3.24亿元，熊模昌被给予警告，合计处以205万元罚款，吴国荣...全文,0,27
当中国福州官员遇到日本AV女苍井空。。。,1,40
#领土争端# 印度宣布成立“拉达克中央直辖区”，将中印边界西段的中方领土划入印行政管辖，我外交部强烈回应：不可接受！#国际军事# via长江新闻号 勤奋de班长的微博视频 ,1,41
【一次签证多年有效多个国家“说走就走”】今天开始，自由行赴韩游客所有新办理的多次往返签证有效期一律延长至五年。从去年11月，美国对中国游客签证有效期延长到10年起，加拿大、日本、韩国、澳大利亚等国都将中国游客签证有效期延长为3到10年不等。http://t.cn/RAOj4sm,0,42
孩子走失半年了具体信息如下：刘浩华，男，2009年出生，2014年10月前走失。走失时上身穿黄色带帽外套，蓝色牛仔裤，能说出爸爸妈妈名字，背出爸爸电话，其父电话：17731634303 希望好心人帮忙转一下@舒淇 @姚晨 @马伊琍 @谢娜 @李小璐Super璐 @iamsmallfry @董璇 @angelababy @蔡少芬 ,1,43
【中午新浪员工因下载爱情动作片 导致微博挂掉】大公司下载速度就是牛逼！！！ ,1,44
#爱奇艺遭美国证监会调查#爱奇艺！嗯！这么说吧！腾讯有的剧爱奇艺没有爱奇艺有的剧腾讯没有！优酷的剧爱奇艺没有，腾讯也没有！所以只要能看电视的都买了会员🙉🙉🙉,0,0
最美医生正在经受着法律带来的巨大委屈。时下常说“人倒了，到底扶不扶？”，人若失去了道德、良心和羞耻感，那么冷酷、操蛋、不讲情的法律是救不了大家的。如果以此风日胜，早晚有一天会说“路遇危病患者，到底救不救！ 如果我们有良心，就为李芊医生叫好，你的每一次转发，都在唤醒一个民族的觉醒！ ,1,45
【军车恐吓交警】@大连电台小巍:  南京交警拦截一辆逆行还闯红灯的军车，军车不但不停车，反而顶着交警往前推！见交警不让开，军车司机探出头来，指着交警骂脏话。见交警还是要执法，坐在军车后座的男子下车，指着交警威胁到：“信不信，我整死你！”,1,46
#新刊预告#《印度商业线报》总编辑G.昌德拉施卡，认为：“印度的社会制度和经济状况都是印度国民性的正常结果，是印度历史的一种延续。”既然如此，我们就从其历史出发，了解它的文化，探求印度为什么会变成今天的样子，它的人民为什么那么骄傲...http://t.cn/zYhGE2v,0,47
【云南女拆迁户怀抱一岁幼子引爆炸药致4死16伤】5月10日上午9时许，云南省昭通市巧家县白鹤滩镇花桥社区便民服务大厅发生一起爆炸案：一李姓妇女，因为不满政府征地拆迁，带上炸药包进入服务大厅的协议签订现场后，怀抱一岁多的小孩，点燃了导火索后实施自杀式爆炸。via人民网O网页链接 ,1,48
哪位认识一名叫白娅倩的沈阳高考考生，考点是在一中，考场是013，准考证号：204***311，请让她赶快和丁先生联系：13830468131，她的准考证丢了，没有证件，明儿怎么顺利参加 高考啊？抓紧抓紧，发动微博的力量吧！ ,1,49
【工作汇报四大原则】一、客户价值原则；二、积极主动原则，主动，而不越权；三、尊重，而不吹捧；四、请示，而不依赖。【汇报工作六大关键】一、讲结果，不讲理由；二、讲重点，不讲细节；三、讲数据，不讲大概；四、要简单，不要复杂；五、汇报，不要邀功；六、汇报，不要打小报告。,0,50
保罗没死？真假的啊。。不是开挂了吧。。。@XiaoQiangsMAIL ,1,51
假如你想要一件东西，就放它走。它若能回来找你，就永远属于你；它若不回来，那根本就不是你的。——Y.M,0,52
#央视快讯#【河北通报4名防汛工作落实不力责任人将依法追责】经河北省委研究决定，对此次防汛抗洪抢险救灾中工作不力的邢台市经济开发区党工委书记、管委会主任段小勇，邢台市经济开发区东汪镇党委书记张国伟，石家庄市交通运输局党组成员、总工程师何占魁，井陉县副县长贾彦廷，作出停职检查决定，进...展开全文c,0,53
#股票##高顿金融干货#1、周一，上证指数报3225.12点，上涨0.02%，成交额3253.22亿。深证成指报13420.96点，上涨1.39%，成交额4871.10亿。创业板指报2708.39点，上涨1.98%，成交额2312.23亿。两市合计成交8124.32亿。盘面上，白酒板块领涨，家电、新能源、汽车整车板块同样涨幅靠前。2、周一，恒生...全文,0,27
#全国确诊830例新型肺炎病例# 大年初一 襄阳封城 至此 湖北封省 载入史册 孝感 ,1,54
也许有一天，我们都会犯错，我们要约好，吵架的时候告诉自己，错误是短暂的，错过却是永远遗憾的。,0,55
这是一只将要被带进实验室的母猴，她的孩子紧紧的抱着妈妈，母猴依依不舍的看着孩子。可母子俩亲情的努力什么都改变不了，还是无法成为人类医药和生物实验的试验品，请大家一起抵制动物实验产品！动物的生命值得尊重，虐杀和残害动物不叫科学！ ,1,56
主人突发疾病身亡把器官捐赠给了别人，狗狗却一眼就认出来。泪奔了……[泪]http://t.cn/Rysyoge,0,57
厄尔尼诺是指赤道中东太平洋海温异常增温现象。跟人体感冒发烧一样，大海“发烧”也会造成各种不适，因此需要通过海洋与大气之间的能量交换来改变大气环流和温度分布，“治疗”的过程必然造成气候出现一定的异常。,0,58
杭州站，光顾看手机，一脚踩空，高铁同时进站……一时救都没法救了，生不如死啊！希望各位多一点防备多一点留意，走路🚶 千万不要玩手机📱 珍惜眼前的自己。#春节聚会夺命三连问# 小练哥135的微博视频 ,1,59
【“魔鬼周”里的小快乐：大朋友与小朋友偶遇，暖哭了！】日前，正在参加武警河池支队第三季度“魔鬼周”极限训练的特战队员们，在疲惫的长途行军途中，经历这样一件快乐温馨的事。队伍行军经过一村庄时，在路边做短暂休整，正赶上当地小学放学。一群孩子看见突然出现的军人，显得异常兴奋。小朋友们在展开全文c,0,60
警察打人了，清清楚楚，明明白白。虽不清楚前因后果是什么。但是基本事实是，警察脚踢根本不会造成任何威胁危害的人。即使是这人违了法、犯了罪，也不能这样踢人。求媒体报道。@直播南京官方版 视频地址在这里O网页链接 ,1,61
雅安总人口153万， 三星苹果富士康三家共捐款加起来是1亿6000万， 平均分给每个人是105万左右。 现在还在缺物资，缺钱， 各地方各组织各学校还在圈钱。 钱去哪了我们不知道，真的不知道该说啥。 再加上加多宝集团的一个亿。 还有香港一个亿。我只想问。钱呢。 给老百姓们的钱呢? 修竹,1,62
#何猷君否认奚梦瑶怀二胎#有网友在医院偶遇四太和奚梦瑶，疑有二胎，何猷君否定消息，表示在这个时候希望尊重一下他的家人，别无中生有！确实，一家人还在悲痛中，留一点空间吧！娱baby的微博视频,0,63
分享@并读：【《神鬼寓言》未死微软授权新作首曝光】求赞赞//为微软Xbox平台潜心打造了多年《神鬼寓言》的狮头工作室被关闭恐怕是近两个月月最让业内感慨的的事情之一了，所有人都在去年看到了《神鬼寓言：传...《神鬼寓言》未死微软授权新作首曝光,0,64
#正能量#【陈春林：只愿爸爸重新站起来】为让父亲尽快康复，陈春林按照护工的指导给父亲按摩、拍打全身，搀扶父亲做四肢屈伸动作，有时一做就是几个小时，一天下来手常常酸得抬不起来。然而她从不喊累，“只要爸爸能重新站起来，无论做什么我都愿意！”,0,65
我希望遇到这么一个人对我说“自从遇到你我就想结婚了”,0,66
教你如何在衣服上绑一个美美哒蝴蝶结，超美超实用~,0,67
#爱奇艺遭美国证监会调查#srds爱奇艺是中国企业但是但是有问题还是要纠正,0,0
据《法制晚报》，铁路总局已经表示，12306网站将调整图形验证码中图片的清晰度和分辨率，可能会将错误率较高的图片验证码撤下[doge]本文由十五言科学写作训练专栏“科学人的秘密发动机”孵化而成，欢迎加入。,0,68
马航旧广告，广告语是这样的 “不管你去了哪里，都没有人可以再找到你。”[汗],1,69
【[怒骂]红十字会，又一次发灾难财！ 成都制药一厂也有明眼人！】看图说话，这帮杂碎真是无孔不入！ 成都制药一厂药品销售部门透露红十字会购买药品买一万，要5万的发票！~[猪头]~[猪头]~[猪头]~[猪头],1,70
【中菲友谊】2010年8名香港人在菲律宾被枪杀，一个月后菲总统访华，得500亿美元订单大礼。4个月后菲获赠价值1千多万的8辆“流动医疗车”3个多月后，菲海军以“执法”名义扣中国渔船和5名渔民。10天后，菲遭天灾，中国送上的慰问金超过美、日、韩、法国的总和。！（转）,1,71
光伏作为未来3-5年复合增长确定的赛道，要坚定持有。昨天复盘了解了上中下游一些知识以及上市公司，HJT电池的设备公司真是涨了一年。现在不回调真是不敢买，决不追涨！那么就去关注了逆变器，同样是领先全球的行业，华为、阳光电源、锦浪、上能，都是全球前五的公司。阳光电源今年涨了5倍，锦...全文,0,27
#河南玛莎拉蒂# 祸从天降!女司机醉酒驾玛莎拉蒂撞飞宝马 事后逃逸 已致7死4伤 见者转发💪 甜到南句的秒拍视频 ,1,72
【#特朗普称1917年大流感导致二战结束#网友：赶紧复课让特朗普去上学吧！】近日，美国总统特朗普在白宫开记者上称“1917年暴发的流感”可能导致了二战的结束。然而美国媒体指出，特朗普这话不仅弄错了流感暴发的年份，而且还把两件相隔了20多年的事相扯在了一起。#爱奇艺遭美国证监会调查#http://t.cn/A6Uloa2c,0,0
【不会这些，千万别说你熟练掌握办公软件[酷]】Excel中的常用公式，非常实用和经典，你会用吗？get√,0,73
人们常用“色狼”来贬低下半身思考的男人。但事实上，狼是一夫一妻制，一只公狼一生只爱一只母狼，且求爱期相当漫长，要经受诸多考验，但公狼都毫不动摇。一年中公狼只发情两次，其余时间专心出门捕猎，猎物全部分享给母狼。怀孕期间他会认真照料妻子，生儿育女后帮抚养，和狼比品德有些人还未必行啊！,0,74
【北京2013摇号新规定】【摇号须交3000元保证金】【弃号不买保证金不退】【一个家庭已经有一辆车的不能再参与摇号】【高校在校生、留学生等临时性北京集体户口人员不能再参与摇号】【通过摇号的新车5年内不得办理过户 】【连续24次没摇中的自动获得一个购车指标】【报废车辆车主购买新车也须参加摇号】 ,1,75
【下午茶】一段父亲的表述：“我希望你的他，能够比我更爱你，可又多希望，这一天可以晚一点来……”[泪]#心灵阅者#http://t.cn/RUjf8mV,0,76
当年万国运动会的时候，各国国旗都是伴随着国歌依次升起，轮到中国的时候，当时的清政府一首歌国歌都没有，只有一条黄龙旗，能不引来西洋人的嘲笑吗？被嘲笑的头都抬不起来，这时，有一位年过70的老人，神态毅然的走到黄龙旗下，唱起了一首他的家乡小调《茉莉花》，一曲唱完，雷鸣般的掌声顿时而起，这一位神态毅然捍卫国家的尊严的人叫做李鸿章。,1,77
在川音抓了两个暴徒 跑了一个 小心点@巫佳沭BojanKrkic @黄星雨芭啦啦小魔仙人板板 @失眠张二娃 @ll梁欣勒ll @费列罗陈毅千万不要去自贡！！ ,1,78
【无惧跨省！愤然转帖！】河南洛阳市委书记侄子砍死人，判三缓三，老人北京上访被抓，黑监狱20年受尽虐待。20年当中家人不知所踪，老人侄子在郑州沿街乞讨四处寻人。官官相护，搞得老人家破人亡。老妇人被逼绝境，拦住法警车，裸体喊冤求关注。这究竟是个法治社会，还是丛林社会？弱势群体怎么活？ ,1,79
【一个人与一座桥】他是中国近代桥梁事业的先驱。他曾主持修建中国人自己设计并建造的第一座现代化大型桥梁——钱塘江大桥。1937年9月26日，钱塘江大桥建成通车，设计寿命定为50年，历经5次军事爆炸，至今在风雨和大潮中屹立78载，“炸药不放对都炸不掉”。1989年的今天，茅以升先生逝世。缅怀，致敬！,0,80
【微软将关闭视频游戏互动流媒体直播平台Mixer】据外媒报道，微软的Xbox游戏机部门周一表示，公司将关闭视频游戏互动流媒体直播平台Mixer，并将该服务的用户转移至Facebook的游戏平台。微软将关闭视频游戏互动流媒体直播平台Mixer,0,81
这就是新冠肺炎的破坏力，你看了怕不怕？ ,1,82
【牛！我国成功研制电动车“超强电池”充电7秒续航35公里[给力]】中科院上海硅酸盐所研制出一种高性能超级电容器电极材料——氮掺杂有序介孔石墨烯。该材料具有极佳的电化学储能特性，可用作电动车“超强电池”：充电7秒续航35公里。该新型石墨烯超级电容器体积轻巧，可实现规模生产。,0,83
呵呵。今年110米栏，每个栏高了4.3㎝，原因是轮蹲奥组萎考虑到了比赛时下雨刮风的可能性，在栏底增加了吸水的材料，却忘了降低栏的高度。而且跨栏用的栏，是志愿者在奥运会开幕两天后加班加点拼装起来的，质量参差不一。……——来自贴吧《李毅吧》,1,84
陶家镇近期对柳树、法国梧桐等树木进行了冲洗，以减少纷飞的柳絮等对人造成过敏性鼻炎、过敏性哮喘等过敏现象。专家提醒，对于过敏体质者，春季经常在户外活动时可围上纱巾或戴上墨镜、口罩加以防护。,0,85
[中国不要放松警惕，严防第二波疫情到来]WHO权威专家艾尔沃德：中国新冠疫情二次爆发将是大概率事件。一个月前，世界卫生组织(WHO)派出了国际考察组奔赴中国，实地调研新冠病毒疫情，希望快速掌握第一手资料的同时，与中国一起交流疫情防控和救急医疗等问题。考察组负责人是布鲁斯·艾尔沃德博士(Dr. Bruce Aylward)。很多人在CCTV新闻发布会上观看了他详实讲述了考察团的所见所闻。艾尔沃德博士说“他亲眼目睹了中国为抗击新冠病毒所做出的巨大努力和坚决措施”。艾尔沃德博士是WHO总干事谭德塞博士的高级资深顾问。Q: 是否有理由担心中国会出现第二波感染？A: 绝对可能。中国对此也非常关注。我上次在中国考察疫情时让我感到令人震惊的事情之一，与西方国家形成鲜明对比的是，当我和省长、市长交流时，询问他们那里的病例人数已经直线下降了，甚至已经趋于个位数，我问“你们现在在做什么？” 他们回答说“我们正在扩建病床，购买呼吸机；做好准备。我们不认为这种病毒会消失，我们希望尽快恢复社会的正常运行，经济的正常运行，公共卫生和医疗系统的正常运行。我们不希望再次陷入刚刚过去的窘况”。中国会不会爆发二次疫情呢?从现在情况看，非常危险，中国一系列的政府组合让二次疫情爆发的概率越来越高。一、 各自为政的入境隔离政策中国各地的入境隔离政策，都是当地制订执行的。上海市卫建委就可以规定谁是重点国家，谁不是重点国家。而上海市卫建委的标准是各国公布的病例数。这个标准对发达国家有效，对发展中国家来说，它们根本连检测能力都很弱，检测数非常少，这个公布数字没有任何意义。WHO权威专家艾尔沃德：中国新冠疫情二次爆发将是大概率事件！,1,86
两名外国人当街殴打一名饿了么外卖小哥，高大威武的外国人把外卖员按在地上不停的打，这时经过另一名外卖员见此情况冲过去对着殴打倒地小哥的那个外国人踢一脚，站在旁边的那个外国人一看，立即上去和第二个小哥打了起来。这时又有名外卖小哥经过这里，其中一个骑着外卖电动车直接向那个按住外卖小哥的外国人撞了过去打成一团。围观的人喊“支持外卖小哥！正打得不可开交，第四个外卖小哥出现了，他冲了上去。最终，将威武的老外制服了。点评： 想仗着自己的优势欺负我们，没门，我们的团结你想象不到，无论我们平时怎么竞争，关键时刻一致对外，你惹不起。我们不欺负任何人，但是我们不受任何人欺负。,1,87
#万象#【中国速度:天猫交易额12分28秒破百亿】2015“双11”购物节如约而至，11日0点正式开始。仅过72秒，淘宝天猫平台在线交易额突破10亿；1分45秒跨境贸易成交额超过2014“双11”全天；12分28秒，交易额突破100亿。网友称这就是中国速度！都来说说你已经贡献了多少[doge]http://t.cn/RU0gkw2,0,68
发表了博文《太无耻了死亡密码？近年中国重大事故惊人巧合（图）》网友收集整理了近二十年来部分重大安全事故的死亡人数记录：1993年4月，辽宁省大石桥市列车与大客车相撞，35人死亡1995年3月，辽宁省鞍&#xb0;太无耻了&amp;nbsp;死亡密码？近年中国重大事故惊... ​​​​¡查看图片,1,88
世界经济早已不是孤岛，总还有一些极端的人、极端的企业主还这么＂爱国＂……,0,89
作为东门事件经历者，我声明不是谣言，是先从地铁站开始的，地铁候车的地方先有人跟保安挑事，然后……呵呵，我不敢说太多，我害怕不敢说实话的zf，然后我跑出去，有人到处追，希望新闻媒体不要昧良心@作业本 ,1,90
【胎儿1—40周的发育】整整40周，生命这种东西实在是太强大了！！！[爱你],0,91
淄川区中医院：宅在家上网课　教你如何为孩子保护视力淄川发布-融媒体的微博视频,0,92
